,기업명,누적투자금액,매출,고용인원,카테고리,키워드,설립년도
306,트릿지_트릿지,157.4444,126.8111,202,"커머스, 물류, 푸드/농업","커머스, 물류, 푸드/농업, K-유니콘, 예비유니콘, 유통, 물류솔루션, 풀필먼트, 신선식품, 농업, 수산업, B2B, 플랫폼/마켓플레이스, WEB",9
307,루닛_루닛 인사이트 CXR,144.6364,12.6,271,"헬스케어/바이오, AI/딥테크/블록체인","헬스케어/바이오, AI/딥테크/블록체인, 디지털헬스케어, 진단/검사, 암, B2B, SaaS/엔터프라이즈, 소프트웨어, 인공지능, 딥러닝/머신러닝, O2O, 비대면/무인시스템/Untact",11
308,스페이스오디티_케이팝레이더,9.4286,0.6857,15,콘텐츠/예술,"콘텐츠/예술, 미디어, 음악, 한류/K-pop, 연예인, B2C, 플랫폼/마켓플레이스, APP, WEB, 한류/K-POP/K-Contents",7
309,더자람컴퍼니_그로우앤베터,2.3333,1.8667,7,"교육, 인사/비즈니스/법률","교육, 인사/비즈니스/법률, 팁스(TIPS)2022, 성인실무교육, 비대면교육, 조직관리/조직문화, WEB, 교육/컨설팅/용역, 여성창업, 에듀테크",3
310,샤플앤컴퍼니_샤플,8.3333,1.5778,31,인사/비즈니스/법률,"인사/비즈니스/법률, 아기유니콘, 인사솔루션, 협업툴/생산성, SaaS/엔터프라이즈, APP, WEB",9
311,라이드플럭스,48.6667,0.7833,86,"모빌리티/교통, AI/딥테크/블록체인","모빌리티/교통, AI/딥테크/블록체인, 자율주행, 인공지능, 딥러닝/머신러닝, B2B, SaaS/엔터프라이즈, 소프트웨어",6
312,탑코_탑툰,24.2,71.66,247,콘텐츠/예술,"콘텐츠/예술, 웹툰/만화, APP, WEB, B2C, 플랫폼/마켓플레이스, 거래수수료, 콘텐츠",10
313,먼치팩토리_아워플레이스,2.5,5.875,17,콘텐츠/예술,"콘텐츠/예술, 영상/비디오, 사진, B2C, 플랫폼/마켓플레이스, 렌탈/대여, APP, WEB, 공간, 공유경제/긱이코노미, O2O",8
314,카카오뱅크_카카오뱅크,4375.0,2000.0,1553,"금융/보험/핀테크, 통신/보안/데이터","금융/보험/핀테크, 통신/보안/데이터, 결제/페이먼트, 자산관리, 대출, 송금, 주식/증권, 은행, 데이터, 보안/암호화, B2C, SaaS/엔터프라이즈, APP, 금융상품",8
315,와탭랩스,20.0,6.9,77,통신/보안/데이터,"통신/보안/데이터, 아기유니콘, 데이터, 클라우드, 프로그래밍개발, B2B, SaaS/엔터프라이즈, 소프트웨어",9
316,스팬딧,5.5556,1.1111,23,"인사/비즈니스/법률, 통신/보안/데이터","인사/비즈니스/법률, 통신/보안/데이터, 경리/경영관리, ERP/그룹웨어, 회계, 프로그래밍개발, B2B, SaaS/엔터프라이즈, 구독, 용역, 소프트웨어, 교육/컨설팅/용역, 데이터/API",9
317,코리아포트원_포트원,0.3077,4.4846,56,"커머스, 금융/보험/핀테크","커머스, 금융/보험/핀테크, 결제/페이먼트, 이커머스, B2B, SaaS/엔터프라이즈, 용역, 데이터/API",13
318,엔씽,20.17,1.81,25,푸드/농업,"푸드/농업, 스마트팜/로봇, IoT, 빅데이터, B2B, B2C, 상품판매/브랜드/하드웨어, 상품/하드웨어",10
319,어스얼라이언스_탄탄셀렉트(차이나탄),1.6923,5.5077,62,"콘텐츠/예술, 교육","콘텐츠/예술, 교육, 영상/비디오, 외국어, 비대면교육, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, WEB, 교육/컨설팅/용역, 비대면/무인시스템/Untact, 에듀테크",13
